candidate_id,node_key,node_id,x,y,z,hit_count,visit_count,pair_hit_count,direction_hit_count,route_type_hit_count,route_ids,pairs,directions,route_types,label,label_prefix,slowness,risk_obstacle,risk_ra,risk_total,flz_support,emergency_risk,route_graph_degree,dbscan_cluster,dbscan_input,candidate_score,area_ix,area_iy,area_id,candidate_type,area_quota,area_selected_rank,area_density_sum,area_density_mean,area_density_max,area_density_norm,n_candidate_pool_nodes,density_hit_count
IP011,6206,6206,2250.0,3050.0,0.0,10,10,7,2,2,DB01_to_DK01_forward_main_04;DB01_to_DK03_forward_main_01;DB02_to_DK01_forward_main_03;DB02_to_DK02_backward_backup_02;DB02_to_DK02_backward_main_02;DB02_to_DK02_forward_backup_02;DB02_to_DK05_backward_main_02;DB02_to_DK05_forward_backup_01;DK01_to_DK04_forward_main_02;DK03_to_DK06_backward_main_01,DB01_to_DK01;DB01_to_DK03;DB02_to_DK01;DB02_to_DK02;DB02_to_DK05;DK01_to_DK04;DK03_to_DK06,backward;forward,backup;main,NONE,NONE,0.068332,0.0,0.0,0.0,0.490225,0.509775,6,0,True,0.3947980416156671,2,3,2_3,area_balanced_extra,2,2,2118.0,5.295,114.0,0.7290877796901893,37,10.0
IP012,2430,2430,300.0,1200.0,0.0,33,33,7,2,2,DB01_to_DK04_backward_backup_01;DB01_to_DK04_backward_backup_02;DB01_to_DK04_backward_main_02;DB01_to_DK04_backward_main_03;DB01_to_DK04_forward_backup_02;DB01_to_DK04_forward_backup_04;DB02_to_DK04_backward_backup_02;DB02_to_DK04_backward_main_02;DK01_to_DK04_backward_main_04;DK01_to_DK04_forward_main_01;DK02_to_DK04_backward_backup_01;DK02_to_DK04_backward_backup_02;DK02_to_DK04_backward_main_01;DK02_to_DK04_backward_main_02;DK02_to_DK04_backward_main_04;DK02_to_DK04_forward_backup_01;DK02_to_DK04_forward_main_01;DK02_to_DK04_forward_main_04;DK03_to_DK04_backward_main_04;DK03_to_DK04_forward_main_01;DK04_to_DK05_backward_backup_01;DK04_to_DK05_backward_main_01;DK04_to_DK05_backward_main_03;DK04_to_DK05_backward_main_04;DK04_to_DK05_forward_backup_01;DK04_to_DK05_forward_backup_04;DK04_to_DK05_forward_main_01;DK04_to_DK06_backward_backup_01;DK04_to_DK06_backward_main_01;DK04_to_DK06_backward_main_04;DK04_to_DK06_forward_backup_01;DK04_to_DK06_forward_main_01;DK04_to_DK06_forward_main_04,DB01_to_DK04;DB02_to_DK04;DK01_to_DK04;DK02_to_DK04;DK03_to_DK04;DK04_to_DK05;DK04_to_DK06,backward;forward,backup;main,NONE,NONE,0.084938,0.0,0.0,0.0,0.00181,0.99819,4,0,True,0.6657282741738066,0,1,0_1,area_balanced_primary,2,1,1783.0,4.4575,103.0,0.6137693631669535,44,33.0
IP013,3137,3137,300.0,1550.0,0.0,17,17,7,2,2,DB01_to_DK04_backward_main_03;DB01_to_DK04_forward_backup_03;DB02_to_DK04_backward_backup_02;DB02_to_DK04_backward_main_02;DK01_to_DK04_backward_main_04;DK01_to_DK04_forward_main_01;DK02_to_DK04_backward_main_04;DK02_to_DK04_forward_main_01;DK02_to_DK04_forward_main_04;DK03_to_DK04_backward_main_04;DK03_to_DK04_forward_main_01;DK04_to_DK05_backward_main_03;DK04_to_DK05_backward_main_04;DK04_to_DK05_forward_main_01;DK04_to_DK06_backward_main_04;DK04_to_DK06_forward_main_01;DK04_to_DK06_forward_main_04,DB01_to_DK04;DB02_to_DK04;DK01_to_DK04;DK02_to_DK04;DK03_to_DK04;DK04_to_DK05;DK04_to_DK06,backward;forward,backup;main,NONE,NONE,0.084895,0.0,0.0,0.0,0.003085,0.996915,4,0,True,0.4424724602203182,0,1,0_1,area_balanced_extra,2,2,1783.0,4.4575,103.0,0.6137693631669535,44,17.0
IP014,2957,2957,1400.0,1450.0,0.0,31,31,6,2,2,DB01_to_DK01_backward_backup_03;DB01_to_DK01_forward_backup_03;DB01_to_DK01_forward_backup_04;DB01_to_DK01_forward_main_04;DB01_to_DK02_backward_backup_03;DB01_to_DK02_backward_backup_04;DB01_to_DK02_backward_main_03;DB01_to_DK02_backward_main_04;DB01_to_DK02_forward_backup_02;DB01_to_DK02_forward_backup_04;DB01_to_DK02_forward_main_02;DB01_to_DK02_forward_main_04;DB01_to_DK03_backward_backup_02;DB01_to_DK03_backward_backup_04;DB01_to_DK03_backward_main_02;DB01_to_DK03_backward_main_04;DB01_to_DK03_forward_backup_02;DB01_to_DK04_forward_main_03;DB01_to_DK05_backward_backup_01;DB01_to_DK05_backward_backup_02;DB01_to_DK05_backward_backup_04;DB01_to_DK05_backward_main_02;DB01_to_DK05_backward_main_04;DB01_to_DK05_forward_backup_02;DB01_to_DK05_forward_main_02;DB01_to_DK06_backward_backup_01;DB01_to_DK06_backward_backup_03;DB01_to_DK06_backward_backup_04;DB01_to_DK06_backward_main_03;DB01_to_DK06_backward_main_04;DB01_to_DK06_forward_backup_02,DB01_to_DK01;DB01_to_DK02;DB01_to_DK03;DB01_to_DK04;DB01_to_DK05;DB01_to_DK06,backward;forward,backup;main,NONE,NONE,0.081887,0.0,0.0,0.0,0.091572,0.908428,4,0,True,0.6299265605875154,1,1,1_1,area_balanced_primary,2,1,1735.0,4.3375,112.0,0.5972461273666093,36,31.0
IP015,3874,3874,1800.0,1900.0,0.0,10,10,7,2,2,DB01_to_DB02_forward_main_02;DB01_to_DK01_forward_main_01;DB01_to_DK02_backward_main_02;DB01_to_DK02_forward_backup_02;DB01_to_DK03_backward_backup_01;DB01_to_DK05_backward_main_01;DB01_to_DK05_forward_backup_01;DB01_to_DK06_forward_backup_01;DB02_to_DK04_backward_backup_01;DB02_to_DK04_forward_backup_03,DB01_to_DB02;DB01_to_DK01;DB01_to_DK02;DB01_to_DK03;DB01_to_DK05;DB01_to_DK06;DB02_to_DK04,backward;forward,backup;main,NONE,NONE,0.073722,0.0,0.0,0.0,0.331703,0.668297,6,0,True,0.3947980416156671,1,1,1_1,area_balanced_extra,2,2,1735.0,4.3375,112.0,0.5972461273666093,36,10.0
IP016,4787,4787,2000.0,2350.0,0.0,15,15,9,2,2,DB01_to_DK01_backward_main_02;DB01_to_DK02_forward_main_03;DB01_to_DK05_backward_main_04;DB01_to_DK06_forward_main_02;DB02_to_DK02_backward_backup_01;DB02_to_DK02_backward_main_01;DB02_to_DK02_forward_backup_01;DB02_to_DK05_backward_backup_04;DB02_to_DK05_backward_main_04;DB02_to_DK05_forward_backup_03;DB02_to_DK06_forward_main_04;DK01_to_DK04_backward_backup_03;DK01_to_DK04_backward_main_03;DK04_to_DK06_backward_backup_03;DK04_to_DK06_backward_main_03,DB01_to_DK01;DB01_to_DK02;DB01_to_DK05;DB01_to_DK06;DB02_to_DK02;DB02_to_DK05;DB02_to_DK06;DK01_to_DK04;DK04_to_DK06,backward;forward,backup;main,NONE,NONE,0.066943,0.0,0.0,0.0,0.531096,0.468904,7,0,True,0.5053549571603427,2,2,2_2,area_balanced_primary,2,1,1690.0,4.225,15.0,0.5817555938037866,30,15.0
IP017,4495,4495,2550.0,2200.0,0.0,11,11,7,2,2,DB01_to_DK01_forward_main_03;DB01_to_DK03_backward_main_02;DB01_to_DK03_forward_backup_02;DB02_to_DK01_forward_backup_03;DB02_to_DK02_forward_main_01;DB02_to_DK02_forward_main_04;DB02_to_DK05_backward_backup_04;DB02_to_DK05_backward_main_04;DB02_to_DK05_forward_backup_03;DB02_to_DK06_forward_backup_03;DK03_to_DK04_backward_backup_03,DB01_to_DK01;DB01_to_DK03;DB02_to_DK01;DB02_to_DK02;DB02_to_DK05;DB02_to_DK06;DK03_to_DK04,backward;forward,backup;main,NONE,NONE,0.05525,0.0,0.0,0.0,0.892899,0.107101,5,0,True,0.3837515299877601,2,2,2_2,area_balanced_extra,2,2,1690.0,4.225,15.0,0.5817555938037866,30,11.0
IP018,8329,8329,2350.0,4100.0,0.0,13,13,9,2,2,DB01_to_DK03_forward_main_04;DB02_to_DK02_forward_main_03;DB02_to_DK06_forward_main_02;DK01_to_DK03_forward_main_03;DK01_to_DK06_backward_backup_04;DK01_to_DK06_forward_backup_04;DK02_to_DK03_backward_backup_04;DK02_to_DK03_backward_main_04;DK02_to_DK03_forward_backup_02;DK03_to_DK04_backward_backup_01;DK03_to_DK04_forward_backup_04;DK03_to_DK05_forward_backup_03;DK03_to_DK06_backward_backup_04,DB01_to_DK03;DB02_to_DK02;DB02_to_DK06;DK01_to_DK03;DK01_to_DK06;DK02_to_DK03;DK03_to_DK04;DK03_to_DK05;DK03_to_DK06,backward;forward,backup;main,NONE,NONE,0.05525,0.0,0.0,0.0,0.992218,0.007782,5,0,True,0.42744798041615667,2,4,2_4,area_balanced_primary,2,1,1547.0,3.8675,14.0,0.5325301204819277,11,13.0
IP019,9245,9245,2700.0,4550.0,0.0,10,10,6,2,2,DB02_to_DK03_forward_backup_04;DK01_to_DK03_backward_backup_03;DK02_to_DK03_backward_backup_02;DK02_to_DK03_backward_main_02;DK02_to_DK03_forward_backup_03;DK03_to_DK04_forward_backup_03;DK03_to_DK04_forward_main_03;DK03_to_DK05_forward_main_01;DK03_to_DK06_backward_backup_02;DK03_to_DK06_forward_backup_01,DB02_to_DK03;DK01_to_DK03;DK02_to_DK03;DK03_to_DK04;DK03_to_DK05;DK03_to_DK06,backward;forward,backup;main,NONE,NONE,0.060606,0.0,0.0,0.0,0.717465,0.282535,5,1,True,0.3619033047735618,2,4,2_4,area_balanced_extra,2,2,1547.0,3.8675,14.0,0.5325301204819277,11,10.0
IP020,5312,5312,3000.0,2600.0,0.0,14,14,8,2,2,DB01_to_DK01_backward_main_01;DB01_to_DK03_forward_main_02;DB02_to_DK01_forward_main_01;DB02_to_DK02_backward_backup_02;DB02_to_DK02_backward_main_02;DB02_to_DK02_forward_backup_02;DB02_to_DK04_backward_backup_02;DB02_to_DK04_backward_main_02;DB02_to_DK04_forward_backup_02;DB02_to_DK05_backward_main_02;DB02_to_DK05_forward_backup_01;DB02_to_DK06_backward_backup_04;DB02_to_DK06_backward_main_04;DK03_to_DK04_backward_main_03,DB01_to_DK01;DB01_to_DK03;DB02_to_DK01;DB02_to_DK02;DB02_to_DK04;DB02_to_DK05;DB02_to_DK06;DK03_to_DK04,backward;forward,backup;main,NONE,NONE,0.05525,0.0,0.0,0.0,0.944934,0.055066,6,0,True,0.4585067319461444,3,2,3_2,area_balanced_primary,1,1,1297.0,3.2425,14.0,0.44647160068846814,13,14.0
IP021,6881,6881,650.0,3400.0,0.0,35,35,19,2,2,DB01_to_DK02_backward_backup_01;DB01_to_DK02_backward_main_01;DB01_to_DK02_forward_backup_01;DB01_to_DK05_forward_main_03;DB01_to_DK06_forward_main_03;DB02_to_DK02_backward_backup_01;DB02_to_DK02_backward_main_01;DB02_to_DK02_forward_backup_01;DB02_to_DK05_forward_main_03;DB02_to_DK06_forward_main_04;DK01_to_DK02_backward_backup_01;DK01_to_DK02_backward_main_01;DK01_to_DK02_forward_backup_01;DK01_to_DK04_forward_backup_03;DK01_to_DK04_forward_main_03;DK01_to_DK05_forward_main_04;DK02_to_DK03_backward_backup_04;DK02_to_DK03_backward_main_04;DK02_to_DK03_forward_backup_02;DK02_to_DK04_backward_backup_01;DK02_to_DK04_backward_main_01;DK02_to_DK04_forward_backup_01;DK02_to_DK05_forward_main_03;DK02_to_DK06_backward_backup_04;DK02_to_DK06_backward_main_04;DK02_to_DK06_forward_backup_02;DK03_to_DK04_forward_backup_03;DK03_to_DK04_forward_main_03;DK03_to_DK05_forward_main_03;DK03_to_DK06_backward_main_01;DK04_to_DK05_forward_backup_02;DK04_to_DK05_forward_main_02;DK04_to_DK06_forward_backup_03;DK04_to_DK06_forward_main_03;DK05_to_DK06_forward_main_04,DB01_to_DK02;DB01_to_DK05;DB01_to_DK06;DB02_to_DK02;DB02_to_DK05;DB02_to_DK06;DK01_to_DK02;DK01_to_DK04;DK01_to_DK05;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06;DK03_to_DK04;DK03_to_DK05;DK03_to_DK06;DK04_to_DK05;DK04_to_DK06;DK05_to_DK06,backward;forward,backup;main,NONE,NONE,0.082316,0.0,0.0,0.0,0.07894,0.92106,3,0,True,0.7633720930232558,0,3,0_3,area_balanced_primary,1,1,1192.0,2.98,35.0,0.4103270223752151,50,35.0
